"Latest Tweets","Latest Tweets"
"about","Sobre"
"days ago","days ago"
"hours ago","hours ago"
"minutes ago","minutes ago"
"seconds ago","seconds ago"
"Flickr Stream","Flickr Stream"
"Email address","Endereço de Email"
"Join","Join"
"Enter your e-mail Address","Enter your e-mail Address"
"SEARCH","SEARCH"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Shopping Cart"
"All Categories","Todas Categorias"
"Catalog Category Search","Catalog Category Search"
"Search","Procurar"
"Search entire store here...","Search here..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Be the First to Know"
"Submit","Submit"
"Quick View","Espiar"
"Only %s left","Restam %s Disponível"
"Next Product","Próximo Produto"
"Previous Product","Produto Anterior"
"Prev","Ante"
"Next","Prox"
"Contact","Contato"
"Quality","Qualidade"
"Price","Preço"
"View Cart","Ver Carrinho"
